source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,9
0,13
0,17
0,19
0,23
0,26
0,27
0,34
0,37
0,38
0,52
0,64
0,65
0,66
0,68
0,77
0,78
0,79
0,80
0,95
0,114
0,115
0,123
0,137
0,165
0,170
0,186
0,225
0,234
0,253
0,275
0,310
0,317
0,334
0,383
0,388
0,419
0,439
0,442
0,472
0,480
0,500
0,524
0,598
0,643
0,650
0,654
0,665
0,745
0,768
0,794
0,817
0,821
0,874
0,879
0,898
0,964
0,971
0,991
0,1023
1,5
1,8
1,18
1,27
1,28
1,40
1,42
1,59
1,61
1,75
1,104
1,227
1,288
1,290
1,292
1,443
1,506
1,570
1,583
1,622
1,651
1,718
1,789
1,872
1,889
1,919
1,952
1,956
1,966
2,167
2,332
2,542
3,5
3,6
3,7
3,10
3,11
3,12
3,16
3,18
3,24
3,29
3,30
3,34
3,40
3,43
3,46
3,48
3,50
3,55
3,56
3,71
3,81
3,86
3,94
3,110
3,126
3,137
3,138
3,140
3,141
3,143
3,147
3,148
3,171
3,173
3,189
3,192
3,201
3,235
3,254
3,261
3,271
3,279
3,280
3,291
3,311
3,332
3,363
3,394
3,408
3,409
3,433
3,460
3,519
3,549
3,578
3,588
3,650
3,653
3,655
3,673
3,736
3,757
3,819
3,820
3,911
3,925
3,980
3,1002
4,5
4,6
4,8
4,12
4,13
4,16
4,17
4,22
4,26
4,35
4,42
4,44
4,50
4,54
4,66
4,83
4,85
4,95
4,101
4,103
4,111
4,117
4,118
4,181
4,195
4,196
4,201
4,215
4,222
4,229
4,233
4,250
4,290
4,327
4,341
4,349
4,376
4,401
4,439
4,452
4,481
4,489
4,493
4,499
4,513
4,514
4,519
4,522
4,528
4,535
4,541
4,578
4,594
4,597
4,627
4,653
4,663
4,693
4,696
4,706
4,740
4,763
4,775
4,814
4,907
4,909
4,910
4,949
4,963
4,985
5,6
5,7
5,9
5,10
5,11
5,14
5,18
5,20
5,21
5,51
5,54
5,56
5,57
5,59
5,72
5,78
5,89
5,101
5,111
5,119
5,135
5,137
5,150
5,154
5,167
5,182
5,184
5,193
5,203
5,219
5,234
5,273
5,303
5,311
5,366
5,392
5,395
5,438
5,454
5,469
5,500
5,519
5,532
5,540
5,567
5,595
5,620
5,671
5,692
5,705
5,776
5,790
5,794
5,829
5,853
5,991
5,1007
6,7
6,8
6,12
6,13
6,14
6,15
6,17
6,21
6,31
6,32
6,65
6,73
6,85
6,90
6,100
6,113
6,122
6,135
6,142
6,154
6,208
6,212
6,274
6,287
6,299
6,301
6,331
6,342
6,343
6,382
6,400
6,404
6,440
6,459
6,607
6,612
6,641
6,645
6,665
6,696
6,698
6,718
6,757
6,771
6,877
6,904
6,929
7,8
7,9
7,10
7,11
7,13
7,16
7,17
7,20
7,22
7,24
7,25
7,28
7,31
7,35
7,36
7,39
7,49
7,52
7,60
7,61
7,66
7,73
7,80
7,86
7,105
7,108
7,109
7,114
7,118
7,124
7,130
7,132
7,135
7,139
7,142
7,159
7,160
7,167
7,168
7,173
7,174
7,178
7,184
7,196
7,197
7,200
7,213
7,214
7,217
7,238
7,245
7,265
7,283
7,291
7,305
7,309
7,319
7,329
7,334
7,345
7,371
7,378
7,379
7,385
7,419
7,423
7,434
7,443
7,448
7,460
7,464
7,473
7,483
7,485
7,490
7,499
7,511
7,513
7,514
7,528
7,539
7,542
7,554
7,568
7,588
7,610
7,627
7,641
7,656
7,658
7,661
7,663
7,677
7,699
7,705
7,726
7,779
7,787
7,815
7,820
7,826
7,830
7,866
7,890
7,892
7,901
7,913
7,937
7,939
7,962
7,965
7,978
7,998
7,1009
8,9
8,10
8,11
8,12
8,14
8,15
8,16
8,19
8,22
8,23
8,24
8,26
8,29
8,45
8,47
8,56
8,62
8,65
8,67
8,76
8,81
8,82
8,87
8,93
8,100
8,106
8,139
8,143
8,155
8,179
8,182
8,198
8,201
8,216
8,230
8,244
8,251
8,253
8,256
8,299
8,324
8,346
8,379
8,380
8,388
8,404
8,407
8,419
8,428
8,429
8,448
8,455
8,458
8,462
8,474
8,479
8,502
8,510
8,512
8,554
8,556
8,575
8,594
8,636
8,655
8,658
8,675
8,711
8,720
8,738
8,741
8,768
8,770
8,771
8,782
8,810
8,835
8,836
8,867
8,940
8,949
8,977
8,980
8,987
9,15
9,21
9,25
9,36
9,38
9,42
9,46
9,55
9,64
9,67
9,93
9,95
9,138
9,148
9,175
9,226
9,231
9,247
9,253
9,293
9,294
9,335
9,359
9,367
9,386
9,411
9,503
9,521
9,566
9,593
9,629
9,654
9,659
9,786
9,800
9,827
9,921
9,936
9,950
10,30
10,32
10,37
10,48
10,59
10,78
10,84
10,88
10,94
10,98
10,119
10,128
10,161
10,165
10,183
10,199
10,202
10,220
10,221
10,239
10,245
10,271
10,300
10,303
10,315
10,326
10,362
10,376
10,416
10,418
10,508
10,558
10,592
10,963
10,981
10,997
11,20
11,21
11,28
11,70
11,88
11,157
11,223
11,276
11,297
11,393
11,521
11,523
11,564
11,585
11,592
11,722
11,838
11,861
11,895
11,934
11,990
12,18
12,22
12,24
12,25
12,42
12,71
12,81
12,88
12,90
12,100
12,127
12,157
12,158
12,163
12,192
12,237
12,242
12,302
12,314
12,349
12,409
12,487
12,497
12,498
12,553
12,718
12,791
12,812
12,839
12,902
12,937
12,988
13,14
13,15
13,19
13,33
13,37
13,40
13,41
13,43
13,67
13,68
13,76
13,87
13,113
13,122
13,125
13,126
13,129
13,144
13,153
13,180
13,210
13,236
13,265
13,313
13,387
13,397
13,420
13,421
13,431
13,434
13,478
13,512
13,529
13,560
13,635
13,684
13,775
13,790
13,795
13,803
13,854
13,934
13,945
13,978
14,31
14,39
14,44
14,47
14,61
14,69
14,96
14,97
14,106
14,112
14,144
14,172
14,183
14,205
14,228
14,258
14,284
14,285
14,328
14,539
14,696
14,704
14,738
14,742
14,744
14,948
14,953
14,962
15,33
15,55
15,63
15,72
15,74
15,130
15,134
15,153
15,174
15,218
15,225
15,244
15,249
15,398
15,413
15,446
15,470
15,483
15,492
15,515
15,614
15,635
15,716
15,734
15,751
15,779
15,911
15,986
16,19
16,20
16,33
16,35
16,38
16,51
16,54
16,98
16,107
16,126
16,127
16,172
16,239
16,241
16,272
16,289
16,290
16,300
16,355
16,358
16,485
16,620
16,664
16,669
16,763
16,826
16,859
16,905
16,906
16,961
17,27
17,41
17,72
17,231
17,370
17,788
17,957
17,1012
18,28
18,29
18,36
18,39
18,41
18,49
18,50
18,53
18,55
18,83
18,84
18,88
18,89
18,92
18,101
18,109
18,117
18,124
18,132
18,150
18,152
18,166
18,180
18,185
18,199
18,204
18,219
18,228
18,237
18,260
18,269
18,285
18,306
18,330
18,350
18,353
18,357
18,363
18,387
18,412
18,413
18,436
18,477
18,480
18,511
18,521
18,548
18,579
18,599
18,628
18,651
18,729
18,735
18,753
18,773
18,781
18,792
18,796
18,840
18,842
18,846
18,930
18,946
18,1004
19,23
19,27
19,41
19,44
19,45
